ponto_id,longitude,latitude,item_id,data_aquisicao,tile,nuvens_item_pct,resolucao_m,pixels_total,pixels_validos,fracao_valida,ndvi_media,ndvi_mediana,ndvi_p90,fracao_vegetacao_densa,periodo
P051,-45.8437861,-23.1813081,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.13100600242614746,0.10825295001268387,0.23513968288898468,0.0,2024
P052,-45.8400941,-23.1796057,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.09470681101083755,0.09199828654527664,0.16733020544052124,0.0,2024
P053,-45.837751,-23.178287,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.17280656099319458,0.16424418985843658,0.2214086800813675,0.0,2024
P054,-45.8352677,-23.1770304,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1589021235704422,0.15416420996189117,0.23713801801204681,0.0,2024
P055,-45.8336041,-23.1761886,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18393228948116302,0.17296677827835083,0.2789302170276642,0.0,2024
P056,-45.8322929,-23.1755353,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.19402365386486053,0.18724535405635834,0.27879267930984497,0.0,2024
P057,-45.8299299,-23.1745039,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1425585001707077,0.13470013439655304,0.21106171607971191,0.0,2024
P058,-45.8266205,-23.1727091,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.15677693486213684,0.1592545509338379,0.22663092613220215,0.0,2024
P059,-45.8224892,-23.1706507,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.15089569985866547,0.14263011515140533,0.21537324786186218,0.0,2024
P060,-45.8180369,-23.1684262,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.21075770258903503,0.2088414579629898,0.292950838804245,0.0,2024
P061,-45.8158312,-23.1673229,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1680884212255478,0.1670628935098648,0.2473696619272232,0.0,2024
P062,-45.8110544,-23.1649335,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.17856700718402863,0.16333268582820892,0.3027929961681366,0.0,2024
P063,-45.8084429,-23.1636272,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.21614548563957214,0.19742488861083984,0.3884412944316864,0.0,2024
P064,-45.8060318,-23.1624084,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1524963080883026,0.16199755668640137,0.21061310172080994,0.0,2024
P065,-45.8044808,-23.1617463,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.10457877814769745,0.0848194882273674,0.1893233060836792,0.0,2024
P066,-45.8019397,-23.1603456,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.20555277168750763,0.2154039889574051,0.2780190408229828,0.0,2024
P067,-45.8002358,-23.1594871,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.21254684031009674,0.23057644069194794,0.28642335534095764,0.0,2024
P068,-45.7979563,-23.1584776,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.22717608511447906,0.24116680026054382,0.3218049108982086,0.0,2024
P069,-45.7958486,-23.1574222,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.22317808866500854,0.25120773911476135,0.2973465919494629,0.0,2024
P070,-45.7929528,-23.1559496,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.24170871078968048,0.2376311868429184,0.3840145468711853,0.0,2024
P071,-45.7915009,-23.1551114,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.25474247336387634,0.2717299461364746,0.3493802845478058,0.0,2024
P072,-45.7866966,-23.1526762,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18598158657550812,0.1565295159816742,0.3148965835571289,0.0,2024
P073,-45.7853693,-23.1520073,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18355295062065125,0.1677747368812561,0.27268245816230774,0.0,2024
P074,-45.7836529,-23.1511436,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.19079649448394775,0.18327556550502777,0.31845587491989136,0.0,2024
P075,-45.7819916,-23.1502911,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.2076210230588913,0.18831993639469147,0.3207281231880188,0.0,2024
P076,-45.7804229,-23.1494903,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18242642283439636,0.1690395027399063,0.2684705853462219,0.0,2024
P077,-45.7780079,-23.1482708,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.24683420360088348,0.2645988464355469,0.37457650899887085,0.0,2024
P078,-45.7760619,-23.1474184,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.21504363417625427,0.2173553705215454,0.3049475848674774,0.0,2024
P079,-45.7747463,-23.1467538,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.20096643269062042,0.20648258924484253,0.26746419072151184,0.0,2024
P080,-45.7727475,-23.1457487,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18693797290325165,0.18800292909145355,0.25630253553390503,0.0,2024
P081,-45.7710928,-23.1449166,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.2454695850610733,0.25875750184059143,0.35126399993896484,0.0,2024
P082,-45.7683161,-23.1433887,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.21944113075733185,0.22968600690364838,0.30295518040657043,0.0,2024
P083,-45.7669978,-23.1427129,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18728232383728027,0.18535760045051575,0.250414103269577,0.0,2024
P084,-45.7648654,-23.1416499,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.20231573283672333,0.21876297891139984,0.2569502294063568,0.0,2024
P085,-45.7625053,-23.1404481,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.17866797745227814,0.1791197508573532,0.2479400932788849,0.0,2024
P086,-45.7609623,-23.1396774,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.19150924682617188,0.15534883737564087,0.3249531686306,0.0,2024
P087,-45.7592903,-23.1388288,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.25795406103134155,0.2630680501461029,0.3961073160171509,0.0,2024
P088,-45.7576024,-23.1381509,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.2737998366355896,0.2977527976036072,0.39715248346328735,0.0,2024
P089,-45.7557044,-23.1370263,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.24996715784072876,0.26393142342567444,0.33931684494018555,0.0,2024
P090,-45.7540586,-23.136196,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1827661395072937,0.18846926093101501,0.25558483600616455,0.0,2024
P091,-45.7514018,-23.1350142,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.20856527984142303,0.21812297403812408,0.2966037690639496,0.0,2024
