ponto_id,longitude,latitude,fracao_valida_anterior,fracao_valida_atual,fracao_vegetacao_densa_anterior,fracao_vegetacao_densa_atual,ndvi_media_anterior,ndvi_media_atual,ndvi_mediana_anterior,ndvi_mediana_atual,ndvi_p90_anterior,ndvi_p90_atual,pixels_validos_anterior,pixels_validos_atual,delta_ndvi_media,delta_fracao_densa,indice_prioridade_0_100,prioridade_inspecao,criterio_rotulo
P084,-45.7648654,-23.1416499,1.0,1.0,0.0,0.0,0.2023157328367233,0.2219817638397216,0.2187629789113998,0.2275835126638412,0.2569502294063568,0.3037697374820709,113,113,0.019666031002998297,0.0,49.6,media,ndvi_p90_atual=0.304; delta_ndvi=0.020
P003,-45.947999,-23.2581007,1.0,1.0,0.0,0.0,0.1101300418376922,0.1289746165275573,0.0635170638561248,0.0737499967217445,0.2618925869464874,0.3026731610298157,113,113,0.018844574689865085,0.0,49.2,media,ndvi_p90_atual=0.303; delta_ndvi=0.019
P040,-45.8715213,-23.1952891,1.0,1.0,0.0,0.0,0.1360153704881668,0.1456991732120514,0.1117080822587013,0.1178524643182754,0.2791709005832672,0.3022225499153137,113,113,0.009683802723884583,0.0,47.3,media,ndvi_p90_atual=0.302; delta_ndvi=0.010
P037,-45.876045,-23.1977746,1.0,1.0,0.0,0.0,0.189513087272644,0.1513654440641403,0.1611498296260833,0.1055076345801353,0.3037337958812713,0.3547761142253876,113,113,-0.038147643208503695,0.0,47.0,media,ndvi_p90_atual=0.355; delta_ndvi=-0.038
P068,-45.7979563,-23.1584776,1.0,1.0,0.0,0.0,0.227176085114479,0.2090249806642532,0.2411668002605438,0.1895244717597961,0.3218049108982086,0.3311645686626434,113,113,-0.018151104450225802,0.0,46.8,media,ndvi_p90_atual=0.331; delta_ndvi=-0.018
P062,-45.8110544,-23.1649335,1.0,1.0,0.0,0.0,0.1785670071840286,0.1706320345401764,0.1633326858282089,0.1466176956892013,0.3027929961681366,0.3131188452243805,113,113,-0.007934972643852206,0.0,45.7,media,ndvi_p90_atual=0.313; delta_ndvi=-0.008
P090,-45.7540586,-23.136196,1.0,1.0,0.0,0.0,0.1827661395072937,0.2002804279327392,0.188469260931015,0.2065106779336929,0.2555848360061645,0.2836364507675171,113,113,0.0175142884254455,0.0,45.6,baixa,ndvi_p90_atual=0.284; delta_ndvi=0.018
P079,-45.7747463,-23.1467538,1.0,1.0,0.0,0.0,0.2009664326906204,0.2088805139064788,0.2064825892448425,0.2206774950027465,0.2674641907215118,0.2904818952083587,113,113,0.007914081215858404,0.0,44.9,baixa,ndvi_p90_atual=0.290; delta_ndvi=0.008
P056,-45.8322929,-23.1755353,1.0,1.0,0.0,0.0,0.1940236538648605,0.1888341158628463,0.1872453540563583,0.1631713509559631,0.2787926793098449,0.297199547290802,113,113,-0.005189538002014216,0.0,43.5,baixa,ndvi_p90_atual=0.297; delta_ndvi=-0.005
P072,-45.7866966,-23.1526762,1.0,1.0,0.0,0.0,0.1859815865755081,0.1683847308158874,0.1565295159816742,0.1428571492433548,0.3148965835571289,0.3111662864685058,113,113,-0.017596855759620694,0.0,43.4,media,ndvi_p90_atual=0.311; delta_ndvi=-0.018
P050,-45.8454424,-23.182137,1.0,1.0,0.0,0.0,0.1176775023341178,0.1366843581199646,0.1082251071929931,0.1044168546795845,0.1805948615074157,0.2672931253910064,113,113,0.019006855785846793,0.0,43.1,baixa,ndvi_p90_atual=0.267; delta_ndvi=0.019
P044,-45.8650608,-23.1919238,1.0,1.0,0.0,0.0,0.1651969105005264,0.1605083644390106,0.1499575227499008,0.1293302476406097,0.2760163843631744,0.2888106107711792,113,113,-0.004688546061515808,0.0,42.1,baixa,ndvi_p90_atual=0.289; delta_ndvi=-0.005
P058,-45.8266205,-23.1727091,1.0,1.0,0.0,0.0,0.1567769348621368,0.1668348610401153,0.1592545509338379,0.1580071151256561,0.2266309261322021,0.264121264219284,113,113,0.010057926177978488,0.0,40.7,baixa,ndvi_p90_atual=0.264; delta_ndvi=0.010
P083,-45.7669978,-23.1427129,1.0,1.0,0.0,0.0,0.1872823238372802,0.1934571862220764,0.1853576004505157,0.1892770081758499,0.250414103269577,0.2630060911178589,113,113,0.006174862384796198,0.0,39.8,baixa,ndvi_p90_atual=0.263; delta_ndvi=0.006
P051,-45.8437861,-23.1813081,1.0,1.0,0.0,0.0,0.1310060024261474,0.131612554192543,0.1082529500126838,0.1028667762875557,0.2351396828889846,0.2631958127021789,113,113,0.0006065517663955966,0.0,38.7,baixa,ndvi_p90_atual=0.263; delta_ndvi=0.001
P067,-45.8002358,-23.1594871,1.0,1.0,0.0,0.0,0.2125468403100967,0.198915958404541,0.2305764406919479,0.2188599556684494,0.2864233553409576,0.2754805982112884,113,113,-0.013630881905555725,0.0,38.0,baixa,ndvi_p90_atual=0.275; delta_ndvi=-0.014
P033,-45.8876504,-23.2081222,1.0,1.0,0.0442477876106194,0.0,0.154775395989418,0.1313168704509735,0.1127926260232925,0.1040221899747848,0.326304018497467,0.2756691873073578,113,113,-0.02345852553844449,-0.0442477876106194,36.1,baixa,ndvi_p90_atual=0.276; delta_ndvi=-0.023
P069,-45.7958486,-23.1574222,1.0,1.0,0.0,0.0,0.2231780886650085,0.1972746700048446,0.2512077391147613,0.1936928927898407,0.2973465919494629,0.2776955366134643,113,113,-0.02590341866016388,0.0,35.9,baixa,ndvi_p90_atual=0.278; delta_ndvi=-0.026
P075,-45.7819916,-23.1502911,1.0,1.0,0.0,0.0,0.2076210230588913,0.1961065381765365,0.1883199363946914,0.2087099403142929,0.3207281231880188,0.2586588859558105,113,113,-0.011514484882354792,0.0,35.5,baixa,ndvi_p90_atual=0.259; delta_ndvi=-0.012
P085,-45.7625053,-23.1404481,1.0,1.0,0.0,0.0,0.1786679774522781,0.1829771399497985,0.1791197508573532,0.1873625218868255,0.2479400932788849,0.2409867793321609,113,113,0.004309162497520391,0.0,35.5,baixa,ndvi_p90_atual=0.241; delta_ndvi=0.004
P014,-45.9273176,-23.2447763,1.0,1.0,0.0,0.0,0.1233164891600608,0.1311702728271484,0.1027820706367492,0.1225605010986328,0.1991112381219864,0.2279686629772186,113,113,0.00785378366708761,0.0,34.0,baixa,ndvi_p90_atual=0.228; delta_ndvi=0.008
P060,-45.8180369,-23.1684262,1.0,1.0,0.0,0.0,0.210757702589035,0.186362624168396,0.2088414579629898,0.182876706123352,0.292950838804245,0.2638724446296692,113,113,-0.02439507842063901,0.0,33.8,baixa,ndvi_p90_atual=0.264; delta_ndvi=-0.024
P059,-45.8224892,-23.1706507,1.0,1.0,0.0,0.0,0.1508956998586654,0.149987131357193,0.1426301151514053,0.1340723633766174,0.2153732478618621,0.2366075068712234,113,113,-0.0009085685014724176,0.0,33.7,baixa,ndvi_p90_atual=0.237; delta_ndvi=-0.001
P054,-45.8352677,-23.1770304,1.0,1.0,0.0,0.0,0.1589021235704422,0.1543736010789871,0.1541642099618911,0.147094190120697,0.2371380180120468,0.2392832934856414,113,113,-0.004528522491455106,0.0,33.5,baixa,ndvi_p90_atual=0.239; delta_ndvi=-0.005
P047,-45.8575626,-23.1883802,1.0,1.0,0.0,0.0,0.1003090739250183,0.0971431881189346,0.0746268630027771,0.065344750881195,0.2402173280715942,0.2371560633182525,113,113,-0.003165885806083693,0.0,33.4,baixa,ndvi_p90_atual=0.237; delta_ndvi=-0.003
P041,-45.8701988,-23.1945064,1.0,1.0,0.0,0.0,0.1295310407876968,0.1377051174640655,0.1053217574954032,0.126243308186531,0.2383486181497573,0.2230367362499237,113,113,0.008174076676368686,0.0,33.2,baixa,ndvi_p90_atual=0.223; delta_ndvi=0.008
P074,-45.7836529,-23.1511436,1.0,1.0,0.0,0.0,0.1907964944839477,0.1647535115480423,0.1832755655050277,0.152487963438034,0.3184558749198913,0.2619309425354004,113,113,-0.0260429829359054,0.0,33.1,baixa,ndvi_p90_atual=0.262; delta_ndvi=-0.026
P076,-45.7804229,-23.1494903,1.0,1.0,0.0,0.0,0.1824264228343963,0.1668478548526764,0.1690395027399063,0.1536783725023269,0.2684705853462219,0.2481645792722702,113,113,-0.015578567981719915,0.0,32.8,baixa,ndvi_p90_atual=0.248; delta_ndvi=-0.016
P008,-45.938697,-23.2521122,1.0,1.0,0.0,0.0,0.0906085446476936,0.1076764985918998,0.0780108422040939,0.0859361216425895,0.1833294630050659,0.206999585032463,113,113,0.017067953944206196,0.0,32.1,baixa,ndvi_p90_atual=0.207; delta_ndvi=0.017
P064,-45.8060318,-23.1624084,1.0,1.0,0.0,0.0,0.1524963080883026,0.1606691777706146,0.1619975566864013,0.1687999963760376,0.2106131017208099,0.2152927815914154,113,113,0.008172869682311984,0.0,31.8,baixa,ndvi_p90_atual=0.215; delta_ndvi=0.008
P046,-45.8590924,-23.1889735,1.0,1.0,0.0,0.0,0.1827243268489837,0.1572853028774261,0.1928660273551941,0.1514900624752044,0.2766757607460022,0.2526858150959015,113,113,-0.025439023971557617,0.0,31.6,baixa,ndvi_p90_atual=0.253; delta_ndvi=-0.025
P004,-45.9455922,-23.2567336,1.0,1.0,0.0,0.0,0.1067945286631584,0.1020294874906539,0.0910176038742065,0.0727117210626602,0.2068645805120468,0.2242966294288635,113,113,-0.004765041172504508,0.0,30.8,baixa,ndvi_p90_atual=0.224; delta_ndvi=-0.005
P019,-45.9202973,-23.2385589,1.0,1.0,0.0,0.0,0.101650059223175,0.0891944617033004,0.0649999976158142,0.0613554827868938,0.2577464580535888,0.2292813509702682,113,113,-0.012455597519874587,0.0,30.1,baixa,ndvi_p90_atual=0.229; delta_ndvi=-0.012
P020,-45.9188575,-23.2374416,1.0,1.0,0.0,0.0,0.1127464845776557,0.0933517962694168,0.0754998475313186,0.0636070817708969,0.2555243670940399,0.2372487187385559,113,113,-0.0193946883082389,0.0,30.1,baixa,ndvi_p90_atual=0.237; delta_ndvi=-0.019
P013,-45.9296264,-23.2463325,1.0,1.0,0.0,0.0,0.0908511579036712,0.0984521955251693,0.0611160323023796,0.0787598714232444,0.2184793800115585,0.2035161107778549,113,113,0.007601037621498108,0.0,29.6,baixa,ndvi_p90_atual=0.204; delta_ndvi=0.008
